n_control,alloc_ratio,SSR,beta,alpha
16,1,no,0.1,0.022245
30,1,no,0.1,0.023063
60,1,no,0.1,0.023993999999999998
120,1,no,0.1,0.024493
1000,1,no,0.1,0.024621999999999998
2000,1,no,0.1,0.024776
16,2,no,0.1,0.022958
30,2,no,0.1,0.023489
60,2,no,0.1,0.024324000000000002
120,2,no,0.1,0.024472
1000,2,no,0.1,0.02476
2000,2,no,0.1,0.024812
16,1,yes,0.1,0.023174
30,1,yes,0.1,0.023323
60,1,yes,0.1,0.024494000000000002
120,1,yes,0.1,0.024345
1000,1,yes,0.1,0.024523
2000,1,yes,0.1,0.025131
16,2,yes,0.1,0.023367000000000002
30,2,yes,0.1,0.024488
60,2,yes,0.1,0.024402
120,2,yes,0.1,0.024656
1000,2,yes,0.1,0.024975
2000,2,yes,0.1,0.02519
16,1,no,0.2,0.022245
30,1,no,0.2,0.023063
60,1,no,0.2,0.023993999999999998
120,1,no,0.2,0.024493
1000,1,no,0.2,0.024621999999999998
2000,1,no,0.2,0.024776
16,2,no,0.2,0.022958
30,2,no,0.2,0.023489
60,2,no,0.2,0.024324000000000002
120,2,no,0.2,0.024472
1000,2,no,0.2,0.02476
2000,2,no,0.2,0.024812
16,1,yes,0.2,0.023188
30,1,yes,0.2,0.023356000000000002
60,1,yes,0.2,0.024515
120,1,yes,0.2,0.024388
1000,1,yes,0.2,0.024497
2000,1,yes,0.2,0.025124999999999998
16,2,yes,0.2,0.023382999999999998
30,2,yes,0.2,0.024493
60,2,yes,0.2,0.024394
120,2,yes,0.2,0.024642
1000,2,yes,0.2,0.024992
2000,2,yes,0.2,0.025214
1500,1,no,0.1,0.024809
2500,1,no,0.1,0.024834000000000002
3000,1,no,0.1,0.024576
1500,2,no,0.1,0.024746
2500,2,no,0.1,0.025018000000000002
3000,2,no,0.1,0.024979
1500,1,yes,0.1,0.024919
2500,1,yes,0.1,0.02494
3000,1,yes,0.1,0.025137
1500,2,yes,0.1,0.024985
2500,2,yes,0.1,0.024965
3000,2,yes,0.1,0.024975
1500,1,no,0.2,0.024809
2500,1,no,0.2,0.024834000000000002
3000,1,no,0.2,0.024576
1500,2,no,0.2,0.024746
2500,2,no,0.2,0.025018000000000002
3000,2,no,0.2,0.024979
1500,1,yes,0.2,0.024953
2500,1,yes,0.2,0.024928
3000,1,yes,0.2,0.025122000000000002
1500,2,yes,0.2,0.024975999999999998
2500,2,yes,0.2,0.02494
3000,2,yes,0.2,0.024985
