Target Power,IPSS Type,bar_thata_star,r,N_total,power_OLS_noSSR,expected_SS_OLS_noSSR,power_OLS_SSR,expected_SS_OLS_SSR,max_SS_OLS_SSR,power_perm_noSSR,expected_SS_perm_noSSR,power_perm_SSR,expected_SS_perm_SSR,max_SS_perm_SSR
0.8,Original,0.2,1,328,0.794583,304,0.968045,576,656,0.7973,300,0.9667,567,656
0.8,Original,0.2,2,372,0.79873,344,0.968896,651,744,0.8016,340,0.9686,640,744
0.8,Original,0.5,1,56,0.795158,54,0.971805,100,112,0.8043,52,0.9749,97,112
0.8,Original,0.5,2,60,0.778685,58,0.965794,108,120,0.7803,56,0.9675,105,120
0.8,Original,0.8,1,24,0.786432,24,0.972457,42,48,0.8095,23,0.9799,41,48
0.8,Original,0.8,2,24,0.736857,24,0.955882,43,48,0.7675,23,0.9654,41,48
0.8,Underest.,0.2,1,200,0.580965,194,0.843319,377,400,0.5792,192,0.8434,374,400
0.8,Underest.,0.2,2,228,0.586471,221,0.848208,429,456,0.5811,219,0.8448,426,456
0.8,Underest.,0.5,1,36,0.584622,36,0.862981,68,72,0.6055,35,0.8801,67,72
0.8,Underest.,0.5,2,36,0.534637,36,0.82125,68,72,0.554,35,0.8337,68,72
0.8,Underest.,0.8,1,16,0.558642,16,0.862402,29,32,0.6345,15,0.8876,27,32
0.8,Underest.,0.8,2,18,0.576091,18,0.872931,33,36,0.6409,17,0.8929,31,36
0.9,Original,0.2,1,440,0.898086,388,0.99305,723,880,0.899,383,0.9938,707,880
0.9,Original,0.2,2,498,0.899814,438,0.993223,816,996,0.9037,431,0.9937,792,996
0.9,Original,0.5,1,72,0.890719,66,0.993005,124,144,0.8962,64,0.9912,119,144
0.9,Original,0.5,2,84,0.903497,76,0.994341,143,168,0.9059,74,0.9946,137,168
0.9,Original,0.8,1,28,0.856439,28,0.989235,50,56,0.8831,26,0.9916,48,56
0.9,Original,0.8,2,36,0.909987,34,0.995984,62,72,0.9193,33,0.997,59,72
0.9,Underest.,0.2,1,264,0.702972,251,0.927396,487,528,0.7019,248,0.9239,480,528
0.9,Underest.,0.2,2,300,0.708378,284,0.929996,552,600,0.712,283,0.9318,547,600
0.9,Underest.,0.5,1,44,0.683124,43,0.926162,83,88,0.6964,42,0.9327,81,88
0.9,Underest.,0.5,2,54,0.730053,53,0.947734,101,108,0.744,51,0.9497,98,108
0.9,Underest.,0.8,1,20,0.688488,20,0.940777,37,40,0.7268,19,0.9512,36,40
0.9,Underest.,0.8,2,24,0.736857,24,0.958248,44,48,0.7675,23,0.967,43,48
